,timestamp,value
0,2022-10-01,59.9
1,2022-09-01,58.6
2,2022-08-01,58.2
3,2022-07-01,51.5
4,2022-06-01,50
5,2022-05-01,58.4
6,2022-04-01,65.2
7,2022-03-01,59.4
8,2022-02-01,62.8
9,2022-01-01,67.2
10,2021-12-01,70.6
11,2021-11-01,67.4
12,2021-10-01,71.7
13,2021-09-01,72.8
14,2021-08-01,70.3
15,2021-07-01,81.2
16,2021-06-01,85.5
17,2021-05-01,82.9
18,2021-04-01,88.3
19,2021-03-01,84.9
20,2021-02-01,76.8
21,2021-01-01,79
22,2020-12-01,80.7
23,2020-11-01,76.9
24,2020-10-01,81.8
25,2020-09-01,80.4
26,2020-08-01,74.1
27,2020-07-01,72.5
28,2020-06-01,78.1
29,2020-05-01,72.3
30,2020-04-01,71.8
31,2020-03-01,89.1
32,2020-02-01,101
33,2020-01-01,99.8
34,2019-12-01,99.3
35,2019-11-01,96.8
36,2019-10-01,95.5
37,2019-09-01,93.2
38,2019-08-01,89.8
39,2019-07-01,98.4
40,2019-06-01,98.2
41,2019-05-01,100
42,2019-04-01,97.2
43,2019-03-01,98.4
44,2019-02-01,93.8
45,2019-01-01,91.2
46,2018-12-01,98.3
47,2018-11-01,97.5
48,2018-10-01,98.6
49,2018-09-01,100.1
50,2018-08-01,96.2
51,2018-07-01,97.9
52,2018-06-01,98.2
53,2018-05-01,98
54,2018-04-01,98.8
55,2018-03-01,101.4
56,2018-02-01,99.7
57,2018-01-01,95.7
58,2017-12-01,95.9
59,2017-11-01,98.5
60,2017-10-01,100.7
61,2017-09-01,95.1
62,2017-08-01,96.8
63,2017-07-01,93.4
64,2017-06-01,95
65,2017-05-01,97.1
66,2017-04-01,97
67,2017-03-01,96.9
68,2017-02-01,96.3
69,2017-01-01,98.5
70,2016-12-01,98.2
71,2016-11-01,93.8
72,2016-10-01,87.2
73,2016-09-01,91.2
74,2016-08-01,89.8
75,2016-07-01,90
76,2016-06-01,93.5
77,2016-05-01,94.7
78,2016-04-01,89
79,2016-03-01,91
80,2016-02-01,91.7
81,2016-01-01,92
82,2015-12-01,92.6
83,2015-11-01,91.3
84,2015-10-01,90.0
85,2015-09-01,87.2
86,2015-08-01,91.9
87,2015-07-01,93.1
88,2015-06-01,96.1
89,2015-05-01,90.7
90,2015-04-01,95.9
91,2015-03-01,93.0
92,2015-02-01,95.4
93,2015-01-01,98.1
94,2014-12-01,93.6
95,2014-11-01,88.8
96,2014-10-01,86.9
97,2014-09-01,84.6
98,2014-08-01,82.5
99,2014-07-01,81.8
100,2014-06-01,82.5
101,2014-05-01,81.9
102,2014-04-01,84.1
103,2014-03-01,80.0
104,2014-02-01,81.6
105,2014-01-01,81.2
106,2013-12-01,82.5
107,2013-11-01,75.1
108,2013-10-01,73.2
109,2013-09-01,77.5
110,2013-08-01,82.1
111,2013-07-01,85.1
112,2013-06-01,84.1
113,2013-05-01,84.5
114,2013-04-01,76.4
115,2013-03-01,78.6
116,2013-02-01,77.6
117,2013-01-01,73.8
118,2012-12-01,72.9
119,2012-11-01,82.7
120,2012-10-01,82.6
121,2012-09-01,78.3
122,2012-08-01,74.3
123,2012-07-01,72.3
124,2012-06-01,73.2
125,2012-05-01,79.3
126,2012-04-01,76.4
127,2012-03-01,76.2
128,2012-02-01,75.3
