,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-10-31,2022-11-22,1.3,1.28,0.02,1.5625
1,2022-07-31,2022-08-23,1.13,1.12,0.01,0.8929
2,2022-04-30,2022-05-26,1.52,1.56,-0.04,-2.5641
3,2022-01-31,2022-02-22,1.37,1.36,0.01,0.7353
4,2021-10-31,2021-11-23,1.32,1.29,0.03,2.3256
5,2021-07-31,2021-08-24,1.41,1.32,0.09,6.8182
6,2021-04-30,2021-05-27,1.5,1.42,0.08,5.6338
7,2021-01-31,2021-02-23,1.29,1.15,0.14,12.1739
8,2020-10-31,2020-11-24,1.02,0.8,0.22,27.5
9,2020-07-31,2020-08-25,0.62,0.18,0.44,244.4444
10,2020-04-30,2020-05-21,0.58,0.68,-0.1,-14.7059
11,2020-01-31,2020-02-18,1.44,1.38,0.06,4.3478
12,2019-10-31,2019-11-19,1.31,1.28,0.03,2.3438
13,2019-07-31,2019-08-20,1.26,1.18,0.08,6.7797
14,2019-04-30,2019-05-23,1.54,1.47,0.07,4.7619
15,2019-01-31,2019-02-19,1.29,1.24,0.05,4.0323
16,2018-10-31,2018-11-20,1.22,1.15,0.07,6.087
17,2018-07-31,2018-08-21,1.17,1.11,0.06,5.4054
18,2018-04-30,2018-05-24,1.42,1.39,0.03,2.1583
19,2018-01-31,2018-02-20,1.17,1.17,0,0
20,2017-10-31,2017-11-21,1.07,0.98,0.09,9.1837
21,2017-07-31,2017-08-22,1.12,1.08,0.04,3.7037
22,2017-04-30,2017-05-25,1.33,1.31,0.02,1.5267
23,2017-01-31,2017-02-21,1.12,1.11,0.01,0.9009
24,2016-10-31,2016-11-22,1.12,1.11,0.01,0.9009
25,2016-07-31,2016-08-25,1.03,1.01,0.02,1.9802
26,2016-04-30,2016-05-31,1.27,1.26,0.01,0.7937
27,2016-01-31,2016-03-01,1.06,1.06,0,0
28,2015-10-31,2015-12-03,1.03,1,0.03,3
29,2015-07-31,2015-09-03,1.02,1.01,0.01,0.9901
30,2015-04-30,2015-06-02,1.16,1.11,0.05,4.5045
31,2015-01-31,2015-02-17,1.01,0.97,0.04,4.1237
32,2014-10-31,2014-11-18,0.96,0.96,0,0
33,2014-07-31,2014-08-19,0.93,0.92,0.01,1.087
34,2014-04-30,2014-05-20,1.12,1.12,0,0
35,2014-01-31,2014-02-18,0.91,0.91,0,0
36,2013-10-31,2013-11-19,0.91,0.9,0.01,1.1111
37,2013-07-31,2013-08-20,0.88,0.88,0,0
38,2013-04-30,2013-05-21,1.1,1.03,0.07,6.7961
39,2013-01-31,2013-02-19,0.93,0.91,0.02,2.1978
40,2012-10-31,2012-11-20,0.88,0.88,0,0
41,2012-07-31,2012-08-21,0.85,0.85,0,0
42,2012-04-30,2012-05-22,0.99,0.98,0.01,1.0204
43,2012-01-31,2012-02-21,0.84,0.84,0,0
44,2011-10-31,2011-11-22,0.84,0.82,0.02,2.439
45,2011-07-31,2011-08-23,0.79,0.79,0,0
46,2011-04-30,2011-05-24,0.9,0.92,-0.02,-2.1739
47,2011-01-31,2011-02-22,0.86,0.84,0.02,2.381
48,2010-10-31,2010-11-23,0.82,0.81,0.01,1.2346
49,2010-07-31,2010-08-24,0.8,0.8,0,0
50,2010-04-30,2010-05-25,0.9,0.88,0.02,2.2727
51,2010-01-31,2010-02-23,0.77,0.76,0.01,1.3158
52,2009-10-31,2009-11-24,0.77,0.74,0.03,4.0541
53,2009-07-31,2009-08-25,0.79,0.78,0.01,1.2821
54,2009-04-30,2009-05-19,0.82,0.82,0,0
55,2009-01-31,2009-02-17,0.71,0.7,0.01,1.4286
56,2008-10-31,2008-11-18,0.67,0.71,-0.04,-5.6338
57,2008-07-31,2008-08-19,0.72,0.69,0.03,4.3478
58,2008-04-30,2008-05-20,0.78,0.73,0.05,6.8493
59,2008-01-31,2008-02-19,0.63,0.61,0.02,3.2787
60,2007-10-31,2007-11-19,0.58,0.56,0.02,3.5714
61,2007-07-31,2007-08-21,0.62,0.62,0,0
62,2007-04-30,2007-05-22,0.66,0.62,0.04,6.4516
63,2007-01-31,2007-02-20,0.61,0.58,0.03,5.1724
64,2006-10-31,2006-11-20,0.59,0.56,0.03,5.3571
65,2006-07-31,2006-08-22,0.55,0.54,0.01,1.8519
66,2006-04-30,2006-05-23,0.62,0.62,0,0
67,2006-01-31,2006-02-21,0.55,0.55,0,0
68,2005-10-31,2005-11-16,0.54,0.54,0,0
69,2005-07-31,2005-08-17,0.5,0.49,0.01,2.0408
70,2005-04-30,2005-05-24,0.53,0.53,0,0
71,2005-01-31,2005-02-16,0.46,0.46,0,0
72,2004-10-31,2004-11-17,0.44,0.45,-0.01,-2.2222
73,2004-07-31,2004-08-18,0.43,0.43,0,0
74,2004-04-30,2004-05-24,0.48,0.46,0.02,4.3478
75,2004-01-31,2004-02-11,0.4,0.4,0,0
76,2003-10-31,2003-11-12,0.39,0.39,0,0
77,2003-07-31,2003-08-12,0.37,0.37,0,0
78,2003-04-30,2003-05-19,0.4,0.4,0,0
79,2003-01-31,2003-02-12,0.35,0.35,0,0
80,2002-10-31,2002-11-18,0.34,0.34,0,0
81,2002-07-31,2002-08-20,0.32,0.32,0,0
82,2002-04-30,2002-05-22,0.34,0.34,0,0
83,2002-01-31,2002-02-19,0.3,0.3,0,0
84,2001-10-31,2001-11-27,0.29,0.29,0,0
85,2001-07-31,2001-08-20,0.28,0.27,0.01,3.7037
86,2001-04-30,2001-05-22,0.3,0.3,0,0
87,2001-01-31,2001-02-21,0.26,0.26,0,0
88,2000-10-31,2000-11-20,0.26,0.26,0,0
89,2000-07-31,2000-08-21,0.25,0.25,0,0
90,2000-04-30,2000-05-24,0.26,0.26,0,0
91,2000-01-31,2000-02-23,0.23,0.23,0,0
92,1999-10-31,1999-11-22,0.22,0.22,0,0
93,1999-07-31,1999-08-23,0.21,0.21,0,0
94,1999-04-30,1999-05-27,0.21,0.21,0,0
95,1999-01-31,1999-02-24,0.18,0.18,0,0
96,1998-10-31,1998-11-17,0.17,0.17,0,0
97,1998-07-31,1998-08-18,0.16,0.16,0,0
98,1998-04-30,1998-05-26,0.17,0.17,0,0
99,1998-01-31,1998-02-18,0.15,0.16,-0.01,-6.25
100,1997-10-31,1997-11-18,0.16,0.16,0,0
101,1997-07-31,1997-08-19,0.16,0.15,0.01,6.6667
102,1997-04-30,1997-05-22,0.16,0.15,0.01,6.6667
103,1997-01-31,1997-02-18,0.14,0.14,0,0
104,1996-10-31,1996-11-19,0.14,0.13,0.01,7.6923
105,1996-07-31,1996-08-19,0.13,0.13,0,0
106,1996-04-30,1996-05-23,0.14,0.13,0.01,7.6923
