,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-08-31,2022-09-29,1.45,1.3,0.15,11.5385
1,2022-05-31,2022-06-30,2.59,2.43,0.16,6.5844
2,2022-02-28,2022-03-29,2.14,1.97,0.17,8.6294
3,2021-11-30,2021-12-20,2.16,2.11,0.05,2.3697
4,2021-08-31,2021-09-28,2.42,2.33,0.09,3.8627
5,2021-05-31,2021-06-30,1.88,1.72,0.16,9.3023
6,2021-02-28,2021-03-31,0.98,0.95,0.03,3.1579
7,2020-11-30,2021-01-07,0.78,0.71,0.07,9.8592
8,2020-08-31,2020-09-29,1.08,0.99,0.09,9.0909
9,2020-05-31,2020-06-29,0.82,0.78,0.04,5.1282
10,2020-02-29,2020-03-25,0.45,0.37,0.08,21.6216
11,2019-11-30,2019-12-18,0.48,0.47,0.01,2.1277
12,2019-08-31,2019-09-26,0.56,0.49,0.07,14.2857
13,2019-05-31,2019-06-25,1.05,0.79,0.26,32.9114
14,2019-02-28,2019-03-20,1.71,1.67,0.04,2.3952
15,2018-11-30,2018-12-18,2.97,2.96,0.01,0.3378
16,2018-08-31,2018-09-20,3.53,3.34,0.19,5.6886
17,2018-05-31,2018-06-20,3.15,3.14,0.01,0.3185
18,2018-02-28,2018-03-22,2.82,2.73,0.09,3.2967
19,2017-11-30,2017-12-19,2.45,2.21,0.24,10.8597
20,2017-08-31,2017-09-26,2.02,1.84,0.18,9.7826
21,2017-05-31,2017-06-29,1.62,1.51,0.11,7.2848
22,2017-02-28,2017-03-23,0.9,0.86,0.04,4.6512
23,2016-11-30,2016-12-21,0.32,0.28,0.04,14.2857
24,2016-08-31,2016-10-04,-0.05,-0.12,0.07,58.3333
25,2016-05-31,2016-06-30,-0.08,-0.09,0.01,11.1111
26,2016-02-29,2016-03-30,-0.05,-0.08,0.03,37.5
27,2015-11-30,2015-12-22,0.24,0.23,0.01,4.3478
28,2015-08-31,2015-10-01,0.37,0.32,0.05,15.625
29,2015-05-31,2015-06-25,0.54,0.56,-0.02,-3.5714
30,2015-02-28,2015-04-01,0.81,0.73,0.08,10.9589
31,2014-11-30,2015-01-06,0.97,0.92,0.05,5.4348
32,2014-08-31,2014-09-25,0.82,0.81,0.01,1.2346
33,2014-05-31,2014-06-23,0.79,0.7,0.09,12.8571
34,2014-02-28,2014-04-03,0.85,0.76,0.09,11.8421
35,2013-11-30,2014-01-07,0.72,0.43,0.29,67.4419
36,2013-08-31,2013-10-10,0.2,0.25,-0.05,-20
37,2013-05-31,2013-06-19,0.04,0.02,0.02,100
38,2013-02-28,2013-03-21,-0.28,-0.19,-0.09,-47.3684
