,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-20,3.19,3.06,0.13,4.2484
1,2022-06-30,2022-07-21,2.93,2.86,0.07,2.4476
2,2022-03-31,2022-04-21,2.57,2.56,0.01,0.3906
3,2021-12-31,2022-01-20,2.66,2.61,0.05,1.9157
4,2021-09-30,2021-10-21,2.57,2.49,0.08,3.2129
5,2021-06-30,2021-07-22,2.72,2.52,0.2,7.9365
6,2021-03-31,2021-04-22,2,2.06,-0.06,-2.9126
7,2020-12-31,2021-01-21,2.36,2.3,0.06,2.6087
8,2020-09-30,2020-10-22,2.01,2.06,-0.05,-2.4272
9,2020-06-30,2020-07-23,1.67,1.55,0.12,7.7419
10,2020-03-31,2020-04-23,2.15,1.9,0.25,13.1579
11,2019-12-31,2020-01-23,2.02,2.04,-0.02,-0.9804
12,2019-09-30,2019-10-17,2.22,2.3,-0.08,-3.4783
13,2019-06-30,2019-07-18,2.22,2.14,0.08,3.7383
14,2019-03-31,2019-04-18,1.93,1.89,0.04,2.1164
15,2018-12-31,2019-01-24,2.12,2.06,0.06,2.9126
16,2018-09-30,2018-10-25,2.15,2.1,0.05,2.381
17,2018-06-30,2018-07-19,1.98,1.95,0.03,1.5385
18,2018-03-31,2018-04-26,1.68,1.66,0.02,1.2048
19,2017-12-31,2018-01-25,1.53,1.54,-0.01,-0.6494
20,2017-09-30,2017-10-26,1.5,1.49,0.01,0.6711
21,2017-06-30,2017-07-20,1.45,1.39,0.06,4.3165
22,2017-03-31,2017-04-27,1.32,1.23,0.09,7.3171
23,2016-12-31,2017-01-19,1.39,1.33,0.06,4.5113
24,2016-09-30,2016-10-20,1.36,1.41,-0.05,-3.5461
25,2016-06-30,2016-07-21,1.17,1.17,0,0
26,2016-03-31,2016-04-21,1.16,1.1,0.06,5.4545
27,2015-12-31,2016-01-21,1.31,1.42,-0.11,-7.7465
28,2015-09-30,2015-10-22,1.5,1.43,0.07,4.8951
29,2015-06-30,2015-07-23,1.38,1.35,0.03,2.2222
30,2015-03-31,2015-04-23,1.3,1.37,-0.07,-5.1095
31,2014-12-31,2015-01-22,1.61,1.51,0.1,6.6225
32,2014-09-30,2014-10-23,1.53,1.52,0.01,0.6579
33,2014-06-30,2014-07-24,1.43,1.43,0,0
34,2014-03-31,2014-04-17,1.19,1.19,0,0
35,2013-12-31,2014-01-23,1.27,1.24,0.03,2.4194
36,2013-09-30,2013-10-17,1.24,1.23,0.01,0.813
37,2013-06-30,2013-07-18,1.19,1.18,0.01,0.8475
38,2013-03-31,2013-04-18,1.01,0.98,0.03,3.0612
39,2012-12-31,2013-01-24,1.1,1.08,0.02,1.8519
40,2012-09-30,2012-10-18,1.1,1.09,0.01,0.9174
41,2012-06-30,2012-07-19,1.05,0.98,0.07,7.1429
42,2012-03-31,2012-04-19,0.9,0.82,0.08,9.7561
43,2011-12-31,2012-01-19,1,0.91,0.09,9.8901
44,2011-09-30,2011-10-20,0.93,0.9,0.03,3.3333
45,2011-06-30,2011-07-21,0.8,0.79,0.01,1.2658
46,2011-03-31,2011-04-20,0.65,0.65,0,0
47,2010-12-31,2011-01-20,0.78,0.74,0.04,5.4054
48,2010-09-30,2010-10-21,0.78,0.75,0.03,4
49,2010-06-30,2010-07-22,0.7,0.6,0.1,16.6667
50,2010-03-31,2010-04-22,0.51,0.47,0.04,8.5106
51,2009-12-31,2010-01-21,0.54,0.52,0.02,3.8462
52,2009-09-30,2009-10-22,0.51,0.5,0.01,2
53,2009-06-30,2009-07-23,0.39,0.38,0.01,2.6316
54,2009-03-31,2009-04-23,0.36,0.33,0.03,9.0909
55,2008-12-31,2009-01-22,0.66,0.62,0.04,6.4516
56,2008-09-30,2008-10-23,0.69,0.65,0.04,6.1538
57,2008-06-30,2008-07-24,0.51,0.46,0.05,10.8696
58,2008-03-31,2008-04-24,0.43,0.4,0.03,7.5
59,2007-12-31,2008-01-24,0.47,0.44,0.03,6.8182
60,2007-09-30,2007-10-18,0.5,0.44,0.06,13.6364
61,2007-06-30,2007-07-19,0.41,0.4,0.01,2.5
62,2007-03-31,2007-04-19,0.35,0.32,0.03,9.375
63,2006-12-31,2007-01-25,0.45,0.39,0.06,15.3846
64,2006-09-30,2006-10-19,0.39,0.37,0.02,5.4054
65,2006-06-30,2006-07-20,0.36,0.33,0.03,9.0909
66,2006-03-31,2006-04-20,0.29,0.27,0.02,7.4074
67,2005-12-31,2006-01-19,0.28,0.25,0.03,12
68,2005-09-30,2005-10-27,0.24,0.23,0.01,4.3478
69,2005-06-30,2005-07-21,0.22,0.19,0.03,15.7895
70,2005-03-31,2005-04-21,0.12,0.12,0,0
71,2004-12-31,2005-01-24,0.22,0.21,0.01,4.7619
72,2004-09-30,2004-10-21,0.19,0.19,0,0
73,2004-06-30,2004-07-22,0.15,0.16,-0.01,-6.25
74,2004-03-31,2004-04-29,0.16,0.15,0.01,6.6667
75,2003-12-31,2004-01-21,0.32,0.3,0.02,6.6667
76,2003-09-30,2003-10-23,0.29,0.29,0,0
77,2003-06-30,2003-07-24,0.26,0.25,0.01,4
78,2003-03-31,2003-04-24,0.14,0.15,-0.01,-6.6667
79,2002-12-31,2003-01-22,0.28,0.27,0.01,3.7037
80,2002-09-30,2002-10-24,0.3,0.36,-0.06,-16.6667
81,2002-06-30,2002-07-18,0.29,0.27,0.02,7.4074
82,2002-03-31,2002-04-25,0.22,0.21,0.01,4.7619
83,2001-12-31,2002-01-24,0.27,0.24,0.03,12.5
84,2001-09-30,2001-10-18,0.26,0.25,0.01,4
85,2001-06-30,2001-07-19,0.24,0.23,0.01,4.3478
86,2001-03-31,2001-04-26,0.18,0.18,0,0
87,2000-12-31,2001-01-18,0.23,0.22,0.01,4.5455
88,2000-09-30,2000-10-19,0.25,0.28,-0.03,-10.7143
89,2000-06-30,2000-07-27,0.24,0.24,0,0
90,2000-03-31,2000-04-20,0.19,0.18,0.01,5.5556
91,1999-12-31,2000-01-20,0.25,0.22,0.03,13.6364
92,1999-09-30,1999-10-21,0.22,0.2,0.02,10
93,1999-06-30,1999-07-22,0.2,0.18,0.02,11.1111
94,1999-03-31,1999-04-22,0.14,0.11,0.03,27.2727
95,1998-12-31,1999-01-21,0.1,0.08,0.02,25
96,1998-09-30,1998-10-22,0.04,0.03,0.01,33.3333
97,1998-06-30,1998-07-23,-0.16,-0.04,-0.12,-300
98,1998-03-31,1998-04-23,-0.04,-0.06,0.02,33.3333
99,1997-12-31,1998-01-22,-0.1,-0.03,-0.07,-233.3333
100,1997-09-30,1997-10-22,0.25,0.22,0.03,13.6364
101,1997-06-30,1997-07-17,0.25,0.23,0.02,8.6957
102,1997-03-31,1997-04-17,0.14,0.13,0.01,7.6923
103,1996-12-31,1997-01-23,0.23,0.23,0,0
104,1996-09-30,1996-10-17,0.25,0.3,-0.05,-16.6667
105,1996-06-30,1996-07-18,0.3,0.28,0.02,7.1429
106,1996-03-31,1996-04-18,0.13,0.19,-0.06,-31.5789
