,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-26,1.64,1.89,-0.25,-13.2275
1,2022-06-30,2022-07-27,2.46,2.59,-0.13,-5.0193
2,2022-03-31,2022-04-27,2.72,2.56,0.16,6.25
3,2021-12-31,2022-02-02,3.67,3.84,-0.17,-4.4271
4,2021-09-30,2021-10-25,3.22,3.19,0.03,0.9404
5,2021-06-30,2021-07-28,3.61,3.03,0.58,19.1419
6,2021-03-31,2021-04-28,3.3,2.37,0.93,39.2405
7,2020-12-31,2021-01-27,3.88,3.22,0.66,20.4969
8,2020-09-30,2020-10-29,2.71,1.91,0.8,41.8848
9,2020-06-30,2020-07-30,1.8,1.39,0.41,29.4964
10,2020-03-31,2020-04-29,1.71,1.76,-0.05,-2.8409
11,2019-12-31,2020-01-29,2.56,2.53,0.03,1.1858
12,2019-09-30,2019-10-30,2.12,1.91,0.21,10.9948
13,2019-06-30,2019-07-24,0.91,1.88,-0.97,-51.5957
14,2019-03-31,2019-04-24,0.85,1.63,-0.78,-47.8528
15,2018-12-31,2019-01-30,2.38,2.19,0.19,8.6758
16,2018-09-30,2018-10-30,1.76,1.47,0.29,19.7279
17,2018-06-30,2018-07-25,1.74,1.72,0.02,1.1628
18,2018-03-31,2018-04-25,1.69,1.35,0.34,25.1852
19,2017-12-31,2018-01-31,1.44,1.95,-0.51,-26.1538
20,2017-09-30,2017-11-01,1.59,1.28,0.31,24.2188
21,2017-06-30,2017-07-26,1.32,1.13,0.19,16.8142
22,2017-03-31,2017-05-03,1.04,1.12,-0.08,-7.1429
23,2016-12-31,2017-02-01,1.41,1.31,0.1,7.6336
24,2016-09-30,2016-11-02,1.09,0.97,0.12,12.3711
25,2016-06-30,2016-07-27,0.97,0.82,0.15,18.2927
26,2016-03-31,2016-04-27,0.77,0.62,0.15,24.1935
27,2015-12-31,2016-01-27,0.79,0.68,0.11,16.1765
28,2015-09-30,2015-11-04,0.57,0.52,0.05,9.6154
29,2015-06-30,2015-07-29,0.5,0.47,0.03,6.383
30,2015-03-31,2015-04-22,0.42,0.4,0.02,5
31,2014-12-31,2015-01-28,0.54,0.49,0.05,10.2041
32,2014-09-30,2014-10-28,0.43,0.4,0.03,7.5
33,2014-06-30,2014-07-23,0.42,0.32,0.1,31.25
34,2014-03-31,2014-04-23,0.34,0.24,0.1,41.6667
35,2013-12-31,2014-01-29,0.31,0.27,0.04,14.8148
36,2013-09-30,2013-10-30,0.25,0.19,0.06,31.5789
37,2013-06-30,2013-07-24,0.19,0.14,0.05,35.7143
38,2013-03-31,2013-05-01,0.12,0.13,-0.01,-7.6923
39,2012-12-31,2013-01-30,0.17,0.15,0.02,13.3333
40,2012-09-30,2012-10-23,0.12,0.11,0.01,9.0909
41,2012-06-30,2012-07-26,0.12,0.12,0,0
42,2012-03-31,2012-05-30,0.0645,None,None,None
