,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-25,0.79,0.78,0.01,1.2821
1,2022-06-30,2022-07-26,0.53,0.52,0.01,1.9231
2,2022-03-31,2022-04-21,0.6,0.62,-0.02,-3.2258
3,2021-12-31,2022-02-10,0.51,0.52,-0.01,-1.9231
4,2021-09-30,2021-10-28,0.82,0.79,0.03,3.7975
5,2021-06-30,2021-07-22,0.59,0.57,0.02,3.5088
6,2021-03-31,2021-04-22,0.69,0.68,0.01,1.4706
7,2020-12-31,2021-02-18,0.32,0.47,-0.15,-31.9149
8,2020-09-30,2020-11-02,0.84,0.79,0.05,6.3291
9,2020-06-30,2020-07-23,0.57,0.54,0.03,5.5556
10,2020-03-31,2020-04-23,0.66,0.63,0.03,4.7619
11,2019-12-31,2020-02-07,0.55,0.5,0.05,10
12,2019-09-30,2019-11-04,0.76,0.73,0.03,4.1096
13,2019-06-30,2019-07-23,0.61,0.6,0.01,1.6667
14,2019-03-31,2019-04-23,0.67,0.68,-0.01,-1.4706
15,2018-12-31,2019-02-19,0.5,0.47,0.03,6.383
16,2018-09-30,2018-10-25,0.8,0.71,0.09,12.6761
17,2018-06-30,2018-07-31,0.62,0.53,0.09,16.9811
18,2018-03-31,2018-04-23,0.67,0.67,0,0
19,2017-12-31,2018-02-20,0.71,0.68,0.03,4.4118
20,2017-09-30,2017-10-26,0.97,0.87,0.1,11.4943
21,2017-06-30,2017-07-27,0.61,0.6,0.01,1.6667
22,2017-03-31,2017-04-27,0.78,0.71,0.07,9.8592
23,2016-12-31,2017-02-21,0.38,0.4,-0.02,-5
24,2016-09-30,2016-11-04,0.9,0.79,0.11,13.9241
25,2016-06-30,2016-07-28,0.56,0.54,0.02,3.7037
26,2016-03-31,2016-04-26,0.8,0.75,0.05,6.6667
27,2015-12-31,2016-02-16,0.58,0.57,0.01,1.7544
28,2015-09-30,2015-10-29,0.98,0.88,0.1,11.3636
29,2015-06-30,2015-07-30,0.53,0.48,0.05,10.4167
30,2015-03-31,2015-05-01,0.62,0.52,0.1,19.2308
31,2014-12-31,2015-02-17,0.8,0.76,0.04,5.2632
32,2014-09-30,2014-11-04,0.89,0.88,0.01,1.1364
33,2014-06-30,2014-08-05,0.49,0.44,0.05,11.3636
34,2014-03-31,2014-05-06,0.39,0.41,-0.02,-4.878
35,2013-12-31,2014-02-25,0.75,0.69,0.06,8.6957
36,2013-09-30,2013-11-05,0.94,0.92,0.02,2.1739
37,2013-06-30,2013-08-06,0.59,0.54,0.05,9.2593
38,2013-03-31,2013-05-07,0.76,0.68,0.08,11.7647
39,2012-12-31,2013-02-25,0.8,0.8,0,0
40,2012-09-30,2012-11-08,1.11,1.06,0.05,4.717
41,2012-06-30,2012-08-07,0.6,0.64,-0.04,-6.25
42,2012-03-31,2012-05-01,0.82,0.81,0.01,1.2346
43,2011-12-31,2012-02-28,0.77,0.76,0.01,1.3158
44,2011-09-30,2011-11-01,1.34,1.22,0.12,9.8361
45,2011-06-30,2011-08-02,0.65,0.71,-0.06,-8.4507
46,2011-03-31,2011-05-02,0.69,0.73,-0.04,-5.4795
47,2010-12-31,2011-02-16,0.71,0.75,-0.04,-5.3333
48,2010-09-30,2010-10-26,1.28,1.12,0.16,14.2857
49,2010-06-30,2010-08-03,0.82,0.78,0.04,5.1282
50,2010-03-31,2010-05-04,0.81,0.76,0.05,6.5789
51,2009-12-31,2010-02-11,0.77,0.73,0.04,5.4795
52,2009-09-30,2009-10-27,1.11,1.05,0.06,5.7143
53,2009-06-30,2009-08-03,0.87,0.84,0.03,3.5714
54,2009-03-31,2009-05-05,1.02,0.89,0.13,14.6067
55,2008-12-31,2009-02-24,1.21,1.03,0.18,17.4757
56,2008-09-30,2008-11-04,1.6,1.42,0.18,12.6761
57,2008-06-30,2008-08-01,0.86,0.96,-0.1,-10.4167
58,2008-03-31,2008-05-01,0.88,0.83,0.05,6.0241
59,2007-12-31,2008-02-25,0.9,0.92,-0.02,-2.1739
60,2007-09-30,2007-10-30,1.3,1.28,0.02,1.5625
61,2007-06-30,2007-08-07,1.13,1.04,0.09,8.6538
62,2007-03-31,2007-05-03,0.88,0.83,0.05,6.0241
63,2006-12-31,2007-02-20,0.84,0.85,-0.01,-1.1765
64,2006-09-30,2006-10-25,1.42,1.32,0.1,7.5758
65,2006-06-30,2006-08-01,0.94,0.92,0.02,2.1739
66,2006-03-31,2006-04-26,0.67,0.64,0.03,4.6875
67,2005-12-31,2006-02-15,0.77,0.75,0.02,2.6667
68,2005-09-30,2005-10-25,1.04,1.02,0.02,1.9608
69,2005-06-30,2005-07-27,0.71,0.68,0.03,4.4118
70,2005-03-31,2005-04-27,0.47,0.43,0.04,9.3023
71,2004-12-31,2005-02-15,0.72,0.58,0.14,24.1379
72,2004-09-30,2004-10-21,0.97,0.94,0.03,3.1915
73,2004-06-30,2004-07-28,0.67,0.64,0.03,4.6875
74,2004-03-31,2004-05-07,0.53,0.44,0.09,20.4545
75,2003-12-31,2004-02-19,0.3,0.39,-0.09,-23.0769
76,2003-09-30,2003-10-23,0.81,0.82,-0.01,-1.2195
77,2003-06-30,2003-08-05,0.39,0.49,-0.1,-20.4082
78,2003-03-31,2003-04-30,0.39,0.47,-0.08,-17.0213
79,2002-12-31,2003-02-13,0.51,0.44,0.07,15.9091
80,2002-09-30,2002-10-17,1.19,1.04,0.15,14.4231
81,2002-06-30,2002-07-24,0.79,0.7,0.09,12.8571
82,2002-03-31,2002-04-24,0.4,0.4,0,0
83,2001-12-31,2002-01-30,0.64,0.69,-0.05,-7.2464
84,2001-09-30,2001-10-16,1.06,0.99,0.07,7.0707
85,2001-06-30,2001-07-17,0.67,0.68,-0.01,-1.4706
86,2001-03-31,2001-04-17,0.49,0.49,0,0
87,2000-12-31,2001-01-16,0.57,0.56,0.01,1.7857
88,2000-09-30,2000-10-17,0.89,0.84,0.05,5.9524
89,2000-06-30,2000-07-18,0.6,0.58,0.02,3.4483
90,2000-03-31,2000-04-18,0.63,0.63,0,0
91,1999-12-31,2000-01-18,0.53,0.53,0,0
92,1999-09-30,1999-10-18,0.82,0.76,0.06,7.8947
93,1999-06-30,1999-07-20,0.55,0.52,0.03,5.7692
94,1999-03-31,1999-04-20,0.6,0.6,0,0
95,1998-12-31,1999-01-19,0.41,0.42,-0.01,-2.381
96,1998-09-30,1998-10-19,0.71,0.7,0.01,1.4286
97,1998-06-30,1998-07-21,0.27,0.22,0.05,22.7273
98,1998-03-31,1998-04-21,0.56,0.52,0.04,7.6923
99,1997-12-31,1998-01-20,0.53,0.49,0.04,8.1633
100,1997-09-30,1997-10-20,0.61,0.64,-0.03,-4.6875
101,1997-06-30,1997-07-15,0.51,0.52,-0.01,-1.9231
102,1997-03-31,1997-04-15,0.51,0.49,0.02,4.0816
103,1996-12-31,1997-01-21,0.48,0.49,-0.01,-2.0408
104,1996-09-30,1996-10-15,0.62,0.6,0.02,3.3333
105,1996-06-30,1996-07-16,0.51,0.52,-0.01,-1.9231
106,1996-03-31,1996-04-16,0.49,0.47,0.02,4.2553
