,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-08-31,2022-09-12,1.03,1.07,-0.04,-3.7383
1,2022-05-31,2022-06-13,1.54,1.37,0.17,12.4088
2,2022-02-28,2022-03-10,1.13,1.18,-0.05,-4.2373
3,2021-11-30,2021-12-09,1.21,1.11,0.1,9.009
4,2021-08-31,2021-09-13,1.03,0.97,0.06,6.1856
5,2021-05-31,2021-06-15,1.54,1.31,0.23,17.5573
6,2021-02-28,2021-03-10,1.16,1.11,0.05,4.5045
7,2020-11-30,2020-12-10,1.06,1,0.06,6
8,2020-08-31,2020-09-10,0.93,0.86,0.07,8.1395
9,2020-05-31,2020-06-16,1.2,1.15,0.05,4.3478
10,2020-02-29,2020-03-12,0.97,0.96,0.01,1.0417
11,2019-11-30,2019-12-12,0.9,0.89,0.01,1.1236
12,2019-08-31,2019-09-11,0.81,0.81,0,0
13,2019-05-31,2019-06-19,1.16,1.07,0.09,8.4112
14,2019-02-28,2019-03-14,0.87,0.84,0.03,3.5714
15,2018-11-30,2018-12-17,0.8,0.78,0.02,2.5641
16,2018-08-31,2018-09-17,0.71,0.69,0.02,2.8986
17,2018-05-31,2018-06-19,0.99,0.94,0.05,5.3191
18,2018-02-28,2018-03-19,0.83,0.72,0.11,15.2778
19,2017-11-30,2017-12-14,0.7,0.68,0.02,2.9412
20,2017-08-31,2017-09-14,0.62,0.6,0.02,3.3333
21,2017-05-31,2017-06-21,0.89,0.78,0.11,14.1026
22,2017-02-28,2017-03-15,0.69,0.62,0.07,11.2903
23,2016-11-30,2016-12-15,0.61,0.6,0.01,1.6667
24,2016-08-31,2016-09-15,0.55,0.58,-0.03,-5.1724
25,2016-05-31,2016-06-16,0.81,0.82,-0.01,-1.2195
26,2016-02-29,2016-03-15,0.64,0.62,0.02,3.2258
27,2015-11-30,2015-12-16,0.63,0.6,0.03,5
28,2015-08-31,2015-09-16,0.53,0.52,0.01,1.9231
29,2015-05-31,2015-06-17,0.78,0.86,-0.08,-9.3023
30,2015-02-28,2015-03-17,0.68,0.68,0,0
31,2014-11-30,2014-12-17,0.69,0.68,0.01,1.4706
32,2014-08-31,2014-09-18,0.62,0.64,-0.02,-3.125
33,2014-05-31,2014-06-19,0.92,0.95,-0.03,-3.1579
34,2014-02-28,2014-03-18,0.68,0.7,-0.02,-2.8571
35,2013-11-30,2013-12-18,0.69,0.67,0.02,2.9851
36,2013-08-31,2013-09-18,0.59,0.56,0.03,5.3571
37,2013-05-31,2013-06-20,0.87,0.87,0,0
38,2013-02-28,2013-03-20,0.65,0.66,-0.01,-1.5152
39,2012-11-30,2012-12-18,0.64,0.61,0.03,4.918
40,2012-08-31,2012-09-20,0.53,0.53,0,0
41,2012-05-31,2012-06-18,0.82,0.78,0.04,5.1282
42,2012-02-29,2012-03-20,0.62,0.56,0.06,10.7143
43,2011-11-30,2011-12-20,0.54,0.57,-0.03,-5.2632
44,2011-08-31,2011-09-20,0.48,0.46,0.02,4.3478
45,2011-05-31,2011-06-23,0.75,0.71,0.04,5.6338
46,2011-02-28,2011-03-24,0.54,0.5,0.04,8
47,2010-11-30,2010-12-16,0.51,0.46,0.05,10.8696
48,2010-08-31,2010-09-16,0.42,0.37,0.05,13.5135
49,2010-05-31,2010-06-24,0.6,0.54,0.06,11.1111
50,2010-02-28,2010-03-25,0.38,0.37,0.01,2.7027
51,2009-11-30,2009-12-17,0.39,0.36,0.03,8.3333
52,2009-08-31,2009-09-16,0.3,0.3,0,0
53,2009-05-31,2009-06-23,0.46,0.44,0.02,4.5455
54,2009-02-28,2009-03-18,0.35,0.32,0.03,9.375
55,2008-11-30,2008-12-18,0.34,0.34,0,0
56,2008-08-31,2008-09-18,0.29,0.27,0.02,7.4074
57,2008-05-31,2008-06-25,0.47,0.44,0.03,6.8182
58,2008-02-29,2008-03-26,0.3,0.3,0,0
59,2007-11-30,2007-12-19,0.31,0.27,0.04,14.8148
60,2007-08-31,2007-09-20,0.22,0.21,0.01,4.7619
