,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-26,0.63,0.56,0.07,12.5
1,2022-06-30,2022-07-27,0.7,0.68,0.02,2.9412
2,2022-03-31,2022-04-27,0.6,0.53,0.07,13.2075
3,2021-12-31,2022-02-16,0.79,0.63,0.16,25.3968
4,2021-09-30,2021-10-27,0.65,0.58,0.07,12.069
5,2021-06-30,2021-08-04,0.78,0.72,0.06,8.3333
6,2021-03-31,2021-04-29,0.72,0.59,0.13,22.0339
7,2020-12-31,2021-02-11,0.8,0.74,0.06,8.1081
8,2020-09-30,2020-10-29,0.7,0.62,0.08,12.9032
9,2020-06-30,2020-07-30,0.8,0.65,0.15,23.0769
10,2020-03-31,2020-04-30,0.58,0.55,0.03,5.4545
11,2019-12-31,2020-02-13,0.72,0.68,0.04,5.8824
12,2019-09-30,2019-10-31,0.69,0.54,0.15,27.7778
13,2019-06-30,2019-08-08,0.78,0.75,0.03,4
14,2019-03-31,2019-05-01,0.66,0.61,0.05,8.1967
15,2018-12-31,2019-02-21,0.84,0.94,-0.1,-10.6383
16,2018-09-30,2018-11-01,0.78,0.81,-0.03,-3.7037
17,2018-06-30,2018-08-03,1,0.92,0.08,8.6957
18,2018-03-31,2018-05-02,0.89,0.82,0.07,8.5366
19,2017-12-31,2018-02-16,0.9,0.95,-0.05,-5.2632
20,2017-09-30,2017-11-01,0.83,0.82,0.01,1.2195
21,2017-06-30,2017-08-03,0.98,0.95,0.03,3.1579
22,2017-03-31,2017-05-03,0.84,0.86,-0.02,-2.3256
23,2016-12-31,2017-02-15,0.91,0.88,0.03,3.4091
24,2016-09-30,2016-11-03,0.83,0.75,0.08,10.6667
25,2016-06-30,2016-08-04,0.85,0.72,0.13,18.0556
26,2016-03-31,2016-05-04,0.73,0.62,0.11,17.7419
27,2015-12-31,2016-02-25,0.62,0.58,0.04,6.8966
28,2015-09-30,2015-11-05,0.44,0.62,-0.18,-29.0323
29,2015-06-30,2015-08-10,0.98,0.84,0.14,16.6667
30,2015-03-31,2015-04-22,0.86,0.81,0.05,6.1728
31,2014-12-31,2015-02-12,0.75,0.73,0.02,2.7397
32,2014-09-30,2014-10-29,0.77,0.73,0.04,5.4795
33,2014-06-30,2014-07-30,0.8,0.82,-0.02,-2.439
34,2014-03-31,2014-05-01,0.83,0.76,0.07,9.2105
35,2013-12-31,2014-02-13,0.43,0.61,-0.18,-29.5082
36,2013-09-30,2013-10-30,0.7,0.62,0.08,12.9032
37,2013-06-30,2013-08-02,1.3773,None,None,None
38,2013-03-31,2013-05-03,0.7605,None,None,None
39,2012-12-31,2013-03-21,0.1603,None,None,None
40,2012-09-30,2012-11-07,0.7939,None,None,None
